                                         s                                         | ind 
 532678194674195328 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 532678194674195832 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 532678914647195328 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 532678914647195832 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 532678914674195328 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 532678914674195832 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678192627195348 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678192627195438 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678192627195834 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678192672195348 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678192672195438 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678192672195834 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678912627195348 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678912627195438 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678912627195834 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678912672195348 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678912672195438 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 534678912672195834 98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  19
 532678194647195328198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 532678194647195832198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 532678194674195328198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 532678194674195832198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 532678914647195328198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 532678914647195832198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 532678914674195328198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 532678914674195832198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678192627195348198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678192627195438198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678192627195834198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678192672195348198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678192672195438198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678192672195834198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678912627195348198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678912627195438198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678912627195834198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678912672195348198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678912672195438198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 534678912672195834198    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  22
 5326781946471953281982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326781946471953281983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326781946471958321982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326781946471958321983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326781946741953281982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326781946741953281983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326781946741958321982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326781946741958321983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326789146471953281982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326789146471953281983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326789146471958321982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326789146471958321983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326789146741953281982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326789146741953281983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326789146741958321982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5326789146741958321983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926271953481982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926271953481983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926271954381982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926271954381983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926271958341982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926271958341983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926721953481982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926721953481983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926721954381982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926721954381983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926721958341982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346781926721958341983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126271953481982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126271953481983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126271954381982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126271954381983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126271958341982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126271958341983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126721953481982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126721953481983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126721954381982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126721954381983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126721958341982   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 5346789126721958341983   6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  23
 53267819464719532819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819464719532819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819464719532819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819464719583219823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819464719583219824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819464719583219834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819467419532819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819467419532819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819467419532819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819467419583219823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819467419583219824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267819467419583219834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891464719532819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891464719532819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891464719532819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891464719583219823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891464719583219824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891464719583219834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891467419532819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891467419532819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891467419532819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891467419583219823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891467419583219824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53267891467419583219834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719534819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719534819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719534819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719543819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719543819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719543819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719583419823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719583419824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819262719583419834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219534819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219534819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219534819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219543819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219543819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219543819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219583419823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219583419824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467819267219583419834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719534819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719534819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719534819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719543819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719543819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719543819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719583419823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719583419824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891262719583419834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219534819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219534819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219534819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219543819823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219543819824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219543819834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219583419823  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219583419824  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 53467891267219583419834  6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  24
 532678194647195328198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678194647195328198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678194647195832198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678194647195832198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678194674195328198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678194674195328198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678194674195832198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678194674195832198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678914647195328198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678914647195328198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678914647195832198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678914647195832198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678914674195328198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678914674195328198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678914674195832198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 532678914674195832198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192627195348198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192627195348198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192627195438198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192627195438198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192627195834198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192627195834198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192672195348198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192672195348198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192672195438198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192672195438198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192672195834198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678192672195834198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912627195348198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912627195348198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912627195438198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912627195438198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912627195834198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912627195834198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912672195348198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912672195348198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912672195438198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912672195438198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912672195834198234 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 534678912672195834198342 6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  25
 53267819464719532819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819464719532819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819464719532819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819464719532819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819464719583219823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819464719583219823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819464719583219834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819464719583219834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819467419532819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819467419532819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819467419532819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819467419532819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819467419583219823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819467419583219823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819467419583219834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267819467419583219834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891464719532819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891464719532819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891464719532819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891464719532819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891464719583219823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891464719583219823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891464719583219834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891464719583219834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891467419532819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891467419532819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891467419532819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891467419532819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891467419583219823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891467419583219823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891467419583219834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53267891467419583219834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719534819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719534819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719534819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719534819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719543819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719543819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719543819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719543819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719583419823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719583419823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719583419834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819262719583419834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219534819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219534819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219534819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219534819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219543819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219543819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219543819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219543819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219583419823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219583419823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219583419834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467819267219583419834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719534819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719534819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719534819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719534819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719543819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719543819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719543819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719543819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719583419823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719583419823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719583419834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891262719583419834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219534819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219534819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219534819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219534819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219543819823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219543819823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219543819834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219543819834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219583419823456 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219583419823476 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219583419834256 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 53467891267219583419834276 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  27
 5326781946471953281982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326781946471953281983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326781946471958321982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326781946471958321983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326781946741953281982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326781946741953281983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326781946741958321982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326781946741958321983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326789146471953281982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326789146471953281983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326789146471958321982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326789146471958321983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326789146741953281982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326789146741953281983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326789146741958321982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5326789146741958321983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926271953481982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926271953481983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926271954381982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926271954381983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926271958341982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926271958341983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926721953481982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926721953481983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926721954381982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926721954381983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926721958341982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346781926721958341983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126271953481982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126271953481983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126271954381982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126271954381983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126271958341982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126271958341983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126721953481982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126721953481983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126721954381982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126721954381983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126721958341982345678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 5346789126721958341983425678   6   34  8 3  17   2   6 6    28    419  5    8  79 |  29
 53267819464719532819823456781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719532819823456782  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719532819823456785  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719532819834256781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719532819834256782  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719532819834256785  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719583219823456781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719583219823456782  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719583219823456785  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719583219834256781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719583219834256782  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819464719583219834256785  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419532819823456781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419532819823456782  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419532819823456785  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419532819834256781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419532819834256782  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419532819834256785  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419583219823456781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419583219823456782  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419583219823456785  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419583219834256781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419583219834256782  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267819467419583219834256785  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
 53267891464719532819823456781  6   34  8 3  17   2   6 6    28    419  5    8  79 |  30
