                                         s                                         | ind 
 53267481 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267489 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267491 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267814 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267819 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267841 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267849 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267891 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267894 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427619 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427681 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427689 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427691 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427819 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427891 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467219 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467281 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467289 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467291 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467812 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467819 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467891 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467892 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 5312764986  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5312768946  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5312769486  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316724986  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316728946  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316729486  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316748926  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316749286  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316784926  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316789246  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316789426  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5326741986  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5326749186  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5326781946  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5326789146  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5342761986  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5342769186  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5346721986  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5346729186  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5346781926  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5346789126  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 53127649862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53127649864 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53127649867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53127689462 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53127689464 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53127689467 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53127694862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53127694864 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53127694867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167249862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167249864 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167249867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167289462 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167289464 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167289467 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167294862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167294864 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167294867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167489262 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167489264 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167489267 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167492862 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167492864 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167492867 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167849262 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167849264 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167849267 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167892462 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
 53167892464 195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  12
